State,Year,Population
Alaska,1980,405315
Alaska,1981,418491
Alaska,1982,449606
Alaska,1983,488417
Alaska,1984,513702
Alaska,1985,532495
Alaska,1986,544268
Alaska,1987,539309
Alaska,1988,541983
Alaska,1989,547159
Alaska,1990,553120
Alaska,1991,569273
Alaska,1992,587073
Alaska,1993,596993
Alaska,1994,600624
Alaska,1995,601345
Alaska,1996,604918
Alaska,1997,608846
Alaska,1998,615205
Alaska,1999,619500
Alaska,2000,627963
Alaska,2001,633714
Alaska,2002,642337
Alaska,2003,648414
Alaska,2004,659286
Alaska,2005,666946
Alaska,2006,675302
Alaska,2007,680300
Alaska,2008,687455
Alaska,2009,698895
Alaska,2010,713910
Alaska,2011,722128
Alaska,2012,730443
Alaska,2013,737068
Alaska,2014,736283
Alabama,1980,3900368
Alabama,1981,3918531
Alabama,1982,3925266
Alabama,1983,3934102
Alabama,1984,3951820
Alabama,1985,3972523
Alabama,1986,3991569
Alabama,1987,4015264
Alabama,1988,4023844
Alabama,1989,4030222
Alabama,1990,4048508
Alabama,1991,4091025
Alabama,1992,4139269
Alabama,1993,4193114
Alabama,1994,4232965
Alabama,1995,4262731
Alabama,1996,4290403
Alabama,1997,4320281
Alabama,1998,4351037
Alabama,1999,4369862
Alabama,2000,4452173
Alabama,2001,4467634
Alabama,2002,4480089
Alabama,2003,4503491
Alabama,2004,4530729
Alabama,2005,4569805
Alabama,2006,4628981
Alabama,2007,4672840
Alabama,2008,4718206
Alabama,2009,4757938
Alabama,2010,4785437
Alabama,2011,4799069
Alabama,2012,4815588
Alabama,2013,4830081
Alabama,2014,4841799
Arkansas,1980,2288738
Arkansas,1981,2293201
Arkansas,1982,2294257
Arkansas,1983,2305761
Arkansas,1984,2319768
Arkansas,1985,2327046
Arkansas,1986,2331984
Arkansas,1987,2342355
Arkansas,1988,2342656
Arkansas,1989,2346358
Arkansas,1990,2354343
Arkansas,1991,2370666
Arkansas,1992,2394098
Arkansas,1993,2423743
Arkansas,1994,2450605
Arkansas,1995,2480121
Arkansas,1996,2504858
Arkansas,1997,2524007
Arkansas,1998,2538202
Arkansas,1999,2551373
Arkansas,2000,2678588
Arkansas,2001,2691571
Arkansas,2002,2705927
Arkansas,2003,2724816
Arkansas,2004,2749686
Arkansas,2005,2781097
Arkansas,2006,2821761
Arkansas,2007,2848650
Arkansas,2008,2874554
Arkansas,2009,2896843
Arkansas,2010,2921964
Arkansas,2011,2940667
Arkansas,2012,2952164
Arkansas,2013,2959400
Arkansas,2014,2967392
Arizona,1980,2737774
Arizona,1981,2810107
Arizona,1982,2889861
Arizona,1983,2968925
Arizona,1984,3067135
Arizona,1985,3183538
Arizona,1986,3308262
Arizona,1987,3437103
Arizona,1988,3535183
Arizona,1989,3622185
Arizona,1990,3679056
Arizona,1991,3762394
Arizona,1992,3867333
Arizona,1993,3993390
Arizona,1994,4147561
Arizona,1995,4306908
Arizona,1996,4432308
Arizona,1997,4552207
Arizona,1998,4667277
Arizona,1999,4778332
Arizona,2000,5160586
Arizona,2001,5273477
Arizona,2002,5396255
Arizona,2003,5510364
Arizona,2004,5652404
Arizona,2005,5839077
Arizona,2006,6029141
Arizona,2007,6167681
Arizona,2008,6280362
Arizona,2009,6343154
Arizona,2010,6407172
Arizona,2011,6472643
Arizona,2012,6554978
Arizona,2013,6632764
Arizona,2014,6730413
California,1980,23800800
California,1981,24285933
California,1982,24820009
California,1983,25360026
California,1984,25844393
California,1985,26441109
California,1986,27102237
California,1987,27777158
California,1988,28464249
California,1989,29218164
California,1990,29950111
California,1991,30414114
California,1992,30875920
California,1993,31147208
California,1994,31317179
California,1995,31493525
California,1996,31780829
California,1997,32217708
California,1998,32682794
California,1999,33145121
California,2000,33987977
California,2001,34479458
California,2002,34871843
California,2003,35253159
California,2004,35574576
California,2005,35827943
California,2006,36021202
California,2007,36250311
California,2008,36604337
California,2009,36961229
California,2010,37319502
California,2011,37638369
California,2012,37948800
California,2013,38260787
California,2014,38596972
Colorado,1980,2908803
Colorado,1981,2977898
Colorado,1982,3061564
Colorado,1983,3133630
Colorado,1984,3169992
Colorado,1985,3208723
Colorado,1986,3237450
Colorado,1987,3260480
Colorado,1988,3262281
Colorado,1989,3275818
Colorado,1990,3303862
Colorado,1991,3367567
Colorado,1992,3459995
Colorado,1993,3560884
Colorado,1994,3653910
Colorado,1995,3738061
Colorado,1996,3812716
Colorado,1997,3891293
Colorado,1998,3968967
Colorado,1999,4056133
Colorado,2000,4326921
Colorado,2001,4425687
Colorado,2002,4490406
Colorado,2003,4528732
Colorado,2004,4575013
Colorado,2005,4631888
Colorado,2006,4720423
Colorado,2007,4803868
Colorado,2008,4889730
Colorado,2009,4972195
Colorado,2010,5047349
Colorado,2011,5121108
Colorado,2012,5192647
Colorado,2013,5269035
Colorado,2014,5350101
Connecticut,1980,3113174
Connecticut,1981,3128836
Connecticut,1982,3139013
Connecticut,1983,3162354
Connecticut,1984,3180014
Connecticut,1985,3201131
Connecticut,1986,3223740
Connecticut,1987,3247291
Connecticut,1988,3271953
Connecticut,1989,3283403
Connecticut,1990,3289056
Connecticut,1991,3288640
Connecticut,1992,3274997
Connecticut,1993,3272325
Connecticut,1994,3268346
Connecticut,1995,3265293
Connecticut,1996,3267030
Connecticut,1997,3268514
Connecticut,1998,3272563
Connecticut,1999,3282031
Connecticut,2000,3411777
Connecticut,2001,3432835
Connecticut,2002,3458749
Connecticut,2003,3484336
Connecticut,2004,3496094
Connecticut,2005,3506956
Connecticut,2006,3517460
Connecticut,2007,3527270
Connecticut,2008,3545579
Connecticut,2009,3561807
Connecticut,2010,3579114
Connecticut,2011,3588283
Connecticut,2012,3594547
Connecticut,2013,3594841
Connecticut,2014,3594524
District of Columbia,1980,638284
District of Columbia,1981,636893
District of Columbia,1982,634174
District of Columbia,1983,632433
District of Columbia,1984,633382
District of Columbia,1985,634549
District of Columbia,1986,638269
District of Columbia,1987,636930
District of Columbia,1988,630432
District of Columbia,1989,624168
District of Columbia,1990,603814
District of Columbia,1991,593239
District of Columbia,1992,584183
District of Columbia,1993,576358
District of Columbia,1994,564982
District of Columbia,1995,551273
District of Columbia,1996,538273
District of Columbia,1997,528752
District of Columbia,1998,521426
District of Columbia,1999,519000
District of Columbia,2000,572046
District of Columbia,2001,574504
District of Columbia,2002,573158
District of Columbia,2003,568502
District of Columbia,2004,567754
District of Columbia,2005,567136
District of Columbia,2006,570681
District of Columbia,2007,574404
District of Columbia,2008,580236
District of Columbia,2009,592228
District of Columbia,2010,605226
District of Columbia,2011,619800
District of Columbia,2012,634924
District of Columbia,2013,650581
District of Columbia,2014,662328
Delaware,1980,594919
Delaware,1981,595975
Delaware,1982,599148
Delaware,1983,605458
Delaware,1984,611565
Delaware,1985,618280
Delaware,1986,627559
Delaware,1987,636947
Delaware,1988,647622
Delaware,1989,658273
Delaware,1990,669063
Delaware,1991,680495
Delaware,1992,690158
Delaware,1993,699475
Delaware,1994,708416
Delaware,1995,718265
Delaware,1996,727090
Delaware,1997,735024
Delaware,1998,744066
Delaware,1999,753538
Delaware,2000,786373
Delaware,2001,795699
Delaware,2002,806169
Delaware,2003,818003
Delaware,2004,830803
Delaware,2005,845150
Delaware,2006,859268
Delaware,2007,871749
Delaware,2008,883874
Delaware,2009,891730
Delaware,2010,899593
Delaware,2011,907381
Delaware,2012,915179
Delaware,2013,923576
Delaware,2014,932487
Florida,1980,9839835
Florida,1981,10192774
Florida,1982,10471407
Florida,1983,10749851
Florida,1984,11039925
Florida,1985,11351118
Florida,1986,11667505
Florida,1987,11997283
Florida,1988,12306395
Florida,1989,12637715
Florida,1990,13018365
Florida,1991,13289497
Florida,1992,13504775
Florida,1993,13713593
Florida,1994,13961798
Florida,1995,14185403
Florida,1996,14426911
Florida,1997,14683350
Florida,1998,14908230
Florida,1999,15111244
Florida,2000,16047515
Florida,2001,16356966
Florida,2002,16689370
Florida,2003,17004085
Florida,2004,17415318
Florida,2005,17842038
Florida,2006,18166990
Florida,2007,18367842
Florida,2008,18527305
Florida,2009,18652644
Florida,2010,18845537
Florida,2011,19053237
Florida,2012,19297822
Florida,2013,19545621
Florida,2014,19845911
Georgia,1980,5486174
Georgia,1981,5568345
Georgia,1982,5649792
Georgia,1983,5728250
Georgia,1984,5834954
Georgia,1985,5962661
Georgia,1986,6084666
Georgia,1987,6208467
Georgia,1988,6316142
Georgia,1989,6411099
Georgia,1990,6506531
Georgia,1991,6621279
Georgia,1992,6759474
Georgia,1993,6894092
Georgia,1994,7045900
Georgia,1995,7188538
Georgia,1996,7332225
Georgia,1997,7486094
Georgia,1998,7636522
Georgia,1999,7788240
Georgia,2000,8227303
Georgia,2001,8377038
Georgia,2002,8508256
Georgia,2003,8622793
Georgia,2004,8769252
Georgia,2005,8925922
Georgia,2006,9155813
Georgia,2007,9349988
Georgia,2008,9504843
Georgia,2009,9620846
Georgia,2010,9711881
Georgia,2011,9802431
Georgia,2012,9901430
Georgia,2013,9972479
Georgia,2014,10067278
Hawaii,1980,967710
Hawaii,1981,978195
Hawaii,1982,993780
Hawaii,1983,1012717
Hawaii,1984,1027922
Hawaii,1985,1039698
Hawaii,1986,1051762
Hawaii,1987,1067918
Hawaii,1988,1079828
Hawaii,1989,1094588
Hawaii,1990,1112703
Hawaii,1991,1131412
Hawaii,1992,1149926
Hawaii,1993,1161508
Hawaii,1994,1173903
Hawaii,1995,1180490
Hawaii,1996,1184434
Hawaii,1997,1189322
Hawaii,1998,1190472
Hawaii,1999,1185497
Hawaii,2000,1213519
Hawaii,2001,1225948
Hawaii,2002,1239613
Hawaii,2003,1251154
Hawaii,2004,1273569
Hawaii,2005,1292729
Hawaii,2006,1309731
Hawaii,2007,1315675
Hawaii,2008,1332213
Hawaii,2009,1346717
Hawaii,2010,1363963
Hawaii,2011,1379329
Hawaii,2012,1394804
Hawaii,2013,1408243
Hawaii,2014,1414538
Iowa,1980,2914018
Iowa,1981,2907983
Iowa,1982,2888189
Iowa,1983,2870543
Iowa,1984,2858618
Iowa,1985,2829684
Iowa,1986,2791970
Iowa,1987,2767011
Iowa,1988,2768388
Iowa,1989,2770592
Iowa,1990,2779769
Iowa,1991,2791227
Iowa,1992,2806923
Iowa,1993,2820525
Iowa,1994,2829422
Iowa,1995,2840860
Iowa,1996,2848473
Iowa,1997,2854396
Iowa,1998,2861025
Iowa,1999,2869413
Iowa,2000,2929067
Iowa,2001,2931997
Iowa,2002,2934234
Iowa,2003,2941999
Iowa,2004,2953635
Iowa,2005,2964454
Iowa,2006,2982644
Iowa,2007,2999212
Iowa,2008,3016734
Iowa,2009,3032870
Iowa,2010,3050745
Iowa,2011,3066336
Iowa,2012,3076190
Iowa,2013,3092997
Iowa,2014,3109350
Idaho,1980,947983
Idaho,1981,962204
Idaho,1982,973721
Idaho,1983,981869
Idaho,1984,990839
Idaho,1985,994051
Idaho,1986,990224
Idaho,1987,984997
Idaho,1988,985664
Idaho,1989,994416
Idaho,1990,1011882
Idaho,1991,1038915
Idaho,1992,1066490
Idaho,1993,1101204
Idaho,1994,1135459
Idaho,1995,1165000
Idaho,1996,1187706
Idaho,1997,1210638
Idaho,1998,1230923
Idaho,1999,1251700
Idaho,2000,1299430
Idaho,2001,1319962
Idaho,2002,1340372
Idaho,2003,1363380
Idaho,2004,1391802
Idaho,2005,1428241
Idaho,2006,1468669
Idaho,2007,1505105
Idaho,2008,1534320
Idaho,2009,1554439
Idaho,2010,1570746
Idaho,2011,1583910
Idaho,2012,1595324
Idaho,2013,1611206
Idaho,2014,1631112
Illinois,1980,11434702
Illinois,1981,11443458
Illinois,1982,11423412
Illinois,1983,11408818
Illinois,1984,11412132
Illinois,1985,11399806
Illinois,1986,11387257
Illinois,1987,11391178
Illinois,1988,11390183
Illinois,1989,11409782
Illinois,1990,11446979
Illinois,1991,11535973
Illinois,1992,11635197
Illinois,1993,11725984
Illinois,1994,11804986
Illinois,1995,11884935
Illinois,1996,11953003
Illinois,1997,12011509
Illinois,1998,12069774
Illinois,1999,12128370
Illinois,2000,12434161
Illinois,2001,12488445
Illinois,2002,12525556
Illinois,2003,12556006
Illinois,2004,12589773
Illinois,2005,12609903
Illinois,2006,12643955
Illinois,2007,12695866
Illinois,2008,12747038
Illinois,2009,12796778
Illinois,2010,12840503
Illinois,2011,12867454
Illinois,2012,12882510
Illinois,2013,12895129
Illinois,2014,12884493
Indiana,1980,5490721
Indiana,1981,5480435
Indiana,1982,5467922
Indiana,1983,5450395
Indiana,1984,5458322
Indiana,1985,5459211
Indiana,1986,5454108
Indiana,1987,5473012
Indiana,1988,5491735
Indiana,1989,5523693
Indiana,1990,5555097
Indiana,1991,5602062
Indiana,1992,5648649
Indiana,1993,5701965
Indiana,1994,5745626
Indiana,1995,5791819
Indiana,1996,5834908
Indiana,1997,5872370
Indiana,1998,5907617
Indiana,1999,5942901
Indiana,2000,6091866
Indiana,2001,6127760
Indiana,2002,6155967
Indiana,2003,6196638
Indiana,2004,6233007
Indiana,2005,6278616
Indiana,2006,6332669
Indiana,2007,6379599
Indiana,2008,6424806
Indiana,2009,6459325
Indiana,2010,6490432
Indiana,2011,6516528
Indiana,2012,6537703
Indiana,2013,6568713
Indiana,2014,6593644
Kansas,1980,2369039
Kansas,1981,2384849
Kansas,1982,2401202
Kansas,1983,2415531
Kansas,1984,2424086
Kansas,1985,2427405
Kansas,1986,2432619
Kansas,1987,2445367
Kansas,1988,2461996
Kansas,1989,2472849
Kansas,1990,2480683
Kansas,1991,2495209
Kansas,1992,2526042
Kansas,1993,2547605
Kansas,1994,2569118
Kansas,1995,2586942
Kansas,1996,2598266
Kansas,1997,2616339
Kansas,1998,2638667
Kansas,1999,2654052
Kansas,2000,2693681
Kansas,2001,2702162
Kansas,2002,2713535
Kansas,2003,2723004
Kansas,2004,2734373
Kansas,2005,2745299
Kansas,2006,2762931
Kansas,2007,2783785
Kansas,2008,2808076
Kansas,2009,2832704
Kansas,2010,2858190
Kansas,2011,2869225
Kansas,2012,2885257
Kansas,2013,2893212
Kansas,2014,2900475
Kentucky,1980,3664221
Kentucky,1981,3670394
Kentucky,1982,3683445
Kentucky,1983,3694484
Kentucky,1984,3695453
Kentucky,1985,3694826
Kentucky,1986,3687809
Kentucky,1987,3683329
Kentucky,1988,3679999
Kentucky,1989,3677306
Kentucky,1990,3692584
Kentucky,1991,3714686
Kentucky,1992,3756358
Kentucky,1993,3792288
Kentucky,1994,3823215
Kentucky,1995,3855248
Kentucky,1996,3881051
Kentucky,1997,3907816
Kentucky,1998,3934310
Kentucky,1999,3960825
Kentucky,2000,4049021
Kentucky,2001,4068132
Kentucky,2002,4089875
Kentucky,2003,4117170
Kentucky,2004,4146101
Kentucky,2005,4182742
Kentucky,2006,4219239
Kentucky,2007,4256672
Kentucky,2008,4289878
Kentucky,2009,4317074
Kentucky,2010,4348181
Kentucky,2011,4369821
Kentucky,2012,4386346
Kentucky,2013,4404659
Kentucky,2014,4414349
Louisiana,1980,4223101
Louisiana,1981,4283303
Louisiana,1982,4352608
Louisiana,1983,4395316
Louisiana,1984,4400477
Louisiana,1985,4408118
Louisiana,1986,4406919
Louisiana,1987,4344148
Louisiana,1988,4288863
Louisiana,1989,4252894
Louisiana,1990,4219179
Louisiana,1991,4240950
Louisiana,1992,4270849
Louisiana,1993,4284749
Louisiana,1994,4306500
Louisiana,1995,4327978
Louisiana,1996,4338763
Louisiana,1997,4351390
Louisiana,1998,4362758
Louisiana,1999,4372035
Louisiana,2000,4471885
Louisiana,2001,4477875
Louisiana,2002,4497267
Louisiana,2003,4521042
Louisiana,2004,4552238
Louisiana,2005,4576628
Louisiana,2006,4302665
Louisiana,2007,4375581
Louisiana,2008,4435586
Louisiana,2009,4491648
Louisiana,2010,4544532
Louisiana,2011,4575625
Louisiana,2012,4600972
Louisiana,2013,4624527
Louisiana,2014,4644013
Massachusetts,1980,5746075
Massachusetts,1981,5768685
Massachusetts,1982,5771222
Massachusetts,1983,5799407
Massachusetts,1984,5840773
Massachusetts,1985,5880733
Massachusetts,1986,5902678
Massachusetts,1987,5935204
Massachusetts,1988,5979982
Massachusetts,1989,6015478
Massachusetts,1990,6018664
Massachusetts,1991,5998652
Massachusetts,1992,5993474
Massachusetts,1993,6010884
Massachusetts,1994,6031352
Massachusetts,1995,6062335
Massachusetts,1996,6085393
Massachusetts,1997,6115476
Massachusetts,1998,6144407
Massachusetts,1999,6175169
Massachusetts,2000,6361104
Massachusetts,2001,6397634
Massachusetts,2002,6417206
Massachusetts,2003,6422565
Massachusetts,2004,6412281
Massachusetts,2005,6403290
Massachusetts,2006,6410084
Massachusetts,2007,6431559
Massachusetts,2008,6468967
Massachusetts,2009,6517613
Massachusetts,2010,6566307
Massachusetts,2011,6613583
Massachusetts,2012,6663005
Massachusetts,2013,6713315
Massachusetts,2014,6762596
Maryland,1980,4227643
Maryland,1981,4261905
Maryland,1982,4282923
Maryland,1983,4313327
Maryland,1984,4365243
Maryland,1985,4413071
Maryland,1986,4486957
Maryland,1987,4565557
Maryland,1988,4657904
Maryland,1989,4727301
Maryland,1990,4797431
Maryland,1991,4856176
Maryland,1992,4902545
Maryland,1993,4942504
Maryland,1994,4985411
Maryland,1995,5023650
Maryland,1996,5057142
Maryland,1997,5092914
Maryland,1998,5130072
Maryland,1999,5171634
Maryland,2000,5311034
Maryland,2001,5374691
Maryland,2002,5440389
Maryland,2003,5496269
Maryland,2004,5546935
Maryland,2005,5592379
Maryland,2006,5627367
Maryland,2007,5653408
Maryland,2008,5684965
Maryland,2009,5730388
Maryland,2010,5788645
Maryland,2011,5839419
Maryland,2012,5886992
Maryland,2013,5923188
Maryland,2014,5957283
Maine,1980,1126860
Maine,1981,1133033
Maine,1982,1136684
Maine,1983,1144772
Maine,1984,1155635
Maine,1985,1162936
Maine,1986,1170126
Maine,1987,1184574
Maine,1988,1203840
Maine,1989,1219961
Maine,1990,1231296
Maine,1991,1235439
Maine,1992,1235748
Maine,1993,1238256
Maine,1994,1237687
Maine,1995,1237438
Maine,1996,1241436
Maine,1997,1245215
Maine,1998,1247554
Maine,1999,1253040
Maine,2000,1277072
Maine,2001,1285692
Maine,2002,1295960
Maine,2003,1306513
Maine,2004,1313688
Maine,2005,1318787
Maine,2006,1323619
Maine,2007,1327040
Maine,2008,1330509
Maine,2009,1329590
Maine,2010,1327629
Maine,2011,1328284
Maine,2012,1327729
Maine,2013,1328009
Maine,2014,1330513
Michigan,1980,9255553
Michigan,1981,9209287
Michigan,1982,9115198
Michigan,1983,9047754
Michigan,1984,9049452
Michigan,1985,9076293
Michigan,1986,9127775
Michigan,1987,9187481
Michigan,1988,9217998
Michigan,1989,9253295
Michigan,1990,9310462
Michigan,1991,9395022
Michigan,1992,9470323
Michigan,1993,9529240
Michigan,1994,9584481
Michigan,1995,9659871
Michigan,1996,9739184
Michigan,1997,9785450
Michigan,1998,9820231
Michigan,1999,9863775
Michigan,2000,9952450
Michigan,2001,9991120
Michigan,2002,10015710
Michigan,2003,10041152
Michigan,2004,10055315
Michigan,2005,10051137
Michigan,2006,10036081
Michigan,2007,10001284
Michigan,2008,9946889
Michigan,2009,9901591
Michigan,2010,9877510
Michigan,2011,9882412
Michigan,2012,9897145
Michigan,2013,9913065
Michigan,2014,9929848
Minnesota,1980,4085017
Minnesota,1981,4111728
Minnesota,1982,4131450
Minnesota,1983,4141456
Minnesota,1984,4157706
Minnesota,1985,4184302
Minnesota,1986,4205212
Minnesota,1987,4235136
Minnesota,1988,4296166
Minnesota,1989,4338057
Minnesota,1990,4387283
Minnesota,1991,4427429
Minnesota,1992,4471503
Minnesota,1993,4521709
Minnesota,1994,4566028
Minnesota,1995,4605445
Minnesota,1996,4647723
Minnesota,1997,4687726
Minnesota,1998,4726411
Minnesota,1999,4775508
Minnesota,2000,4933692
Minnesota,2001,4982796
Minnesota,2002,5018935
Minnesota,2003,5053572
Minnesota,2004,5087713
Minnesota,2005,5119598
Minnesota,2006,5163555
Minnesota,2007,5207203
Minnesota,2008,5247018
Minnesota,2009,5281203
Minnesota,2010,5310828
Minnesota,2011,5346143
Minnesota,2012,5376643
Minnesota,2013,5413479
